"Tier","Area","Requirement","Status","Priority","Notes"
"Must Have","Platform Control","Founder remains the only permanent SUPER_ADMIN","In Progress","P0","Policy and local enforcement exist; must be validated on live deploy"
"Must Have","Platform Control","Stakeholder admins are restricted to their own workspace","In Progress","P0","Admin boundaries exist locally; validate on live deploy"
"Must Have","Platform Control","Admin pages are live on deployed environment","Pending","P0","New control plane is local until committed and deployed"
"Must Have","Platform Control","Workspace admin user management works on deployed environment","Pending","P0","Needs live validation after deploy"
"Must Have","Data and Backend","Database connection is stable and reachable","Pending","P0","Current DB connectivity is the main blocker"
"Must Have","Data and Backend","Pending migrations are applied successfully","Pending","P0","Required before broader live validation"
"Must Have","Data and Backend","Core module data persists correctly against live DB","Pending","P0","HR, Projects, Inventory still need end-to-end live validation"
"Must Have","Security Baseline","Role boundaries are enforced server-side","In Progress","P0","Improved locally; still needs broader module-by-module hardening"
"Must Have","Security Baseline","Audit logs capture admin-critical actions","In Progress","P0","Admin actions now audit locally; validate and broaden coverage"
"Must Have","Product Stability","Critical pages do not throw runtime errors in demo path","In Progress","P0","Production build passes; still validate deployed flow"
"Should Have Before Paid Pilot","Identity and Access","Invite acceptance flow for seeded users","Pending","P0","Stakeholder onboarding needs completion flow"
"Should Have Before Paid Pilot","Identity and Access","Stable Google OAuth or clearly supported credentials flow","Pending","P1","Decide the production sign-in path and validate it"
"Should Have Before Paid Pilot","Identity and Access","Full 2FA validation against live database","Pending","P1","Route surface exists; live validation still needed"
"Should Have Before Paid Pilot","Production Integrations","SMTP configured and tested","Pending","P1","Required for notifications and digests"
"Should Have Before Paid Pilot","Production Integrations","Cloudinary or equivalent upload storage configured and tested","Pending","P1","Required for portal/docs/gallery upload credibility"
"Should Have Before Paid Pilot","Reliability","Error tracking configured","Pending","P0","You need visibility into production failures"
"Should Have Before Paid Pilot","Reliability","Backup and restore plan tested","Pending","P0","Production data safety must be operational"
"Should Have Before Paid Pilot","Governance","Security hardening backlog started in implementation","Pending","P1","NDPA/VAPT should move from docs into code/ops"
"Pitch-Ready Next","Data Governance","CSV importers for CRM/HR/Inventory/Accounting","Pending","P1","Important for real onboarding speed"
"Pitch-Ready Next","Data Governance","Export center for operational/compliance workflows","Pending","P1","Stakeholders will ask for reliable exports"
"Pitch-Ready Next","Recovery","Soft delete and record recovery","Pending","P1","Protects trust after mistakes"
"Pitch-Ready Next","Support","In-product help center","Pending","P2","Reduces dependence on founder support"
"Pitch-Ready Next","Support","Support impersonation with audit trail","Pending","P1","Important for troubleshooting and customer success"
"Pitch-Ready Next","Commercial","Billing and seat visibility for admins","Pending","P1","Important as soon as pricing is formalized"
"Later","Enterprise","White-label and enterprise branding controls","Pending","P2","Useful for premium deals but not first blocker"
"Later","Commercial","Advanced subscription self-service","Pending","P2","Can follow initial controlled rollout"
"Later","Governance","Expanded approval center for sensitive actions","Pending","P2","Important as complexity grows"
